,likert_5_options_0,likert_5_options_1,likert_5_options_2,likert_5_options_3,likert_5_options_4,likert_5_options_5,likert_5_options_6,likert_5_options_7,likert_5_options_8,likert_5_options_9,likert_5_options_10,likert_5_options_11,likert_5_options_12,likert_5_options_13,likert_5_options_14,likert_5_options_15,likert_5_options_16,likert_5_options_17,likert_5_options_18,likert_5_options_19,likert_5_options_20,likert_5_options_21,likert_5_options_22,likert_5_options_23,likert_5_options_24,likert_5_options_25,likert_5_options_26,likert_5_options_27,likert_5_options_28,likert_5_options_29,likert_5_options_30,likert_5_options_31,likert_5_options_32,likert_5_options_33,likert_5_options_34,likert_5_options_35,likert_5_options_36,likert_5_options_37,likert_5_options_38,likert_5_options_39,likert_7_options_0,likert_7_options_1,likert_7_options_2,likert_7_options_3,likert_7_options_4,likert_7_options_5,likert_7_options_6,likert_7_options_7,likert_7_options_8,likert_7_options_9,likert_2_options_0,likert_2_options_1,likert_2_options_2,likert_2_options_3,likert_2_options_4,likert_2_options_5,likert_2_options_6,likert_2_options_7,likert_2_options_8,likert_2_options_9,target
15,1,5,2,5,1,4,1,4,1,3,1,4,1,5,4,5,4,4,3,5,2,1,4,4,4,4,5,3,3,2,5,5,5,1,1,1,1,1,3,4,1,1,3,7,2,2,4,4,5,2,0,0,1,0,0,0,0,0,0,0,1
16,2,1,2,1,2,1,3,4,5,3,1,2,3,1,4,4,2,2,2,5,2,3,3,4,5,1,1,4,2,2,5,1,1,1,1,2,5,3,4,1,1,5,3,3,5,1,3,5,5,4,0,0,0,0,0,0,0,0,0,0,1
17,2,1,3,5,2,5,5,5,5,4,1,5,1,5,4,1,5,4,3,4,1,5,3,2,2,3,5,4,1,2,1,5,1,5,2,2,1,4,1,3,5,4,3,6,2,5,1,7,6,6,0,0,0,1,0,0,0,0,0,0,0
18,2,1,2,5,1,3,5,4,1,4,4,3,3,1,1,3,4,4,3,2,2,5,3,2,2,1,1,5,2,2,1,5,2,5,1,1,1,1,1,4,2,4,5,5,6,3,7,4,1,3,0,0,0,0,0,0,0,0,0,0,0
19,5,4,3,5,2,5,5,1,5,3,3,5,3,5,1,1,5,1,5,1,2,3,1,1,1,1,1,4,3,1,5,3,5,1,3,2,1,1,4,1,3,3,5,4,1,2,7,5,1,7,1,0,0,0,0,0,0,0,0,0,0
20,1,1,3,4,2,3,5,4,1,2,4,1,3,5,3,5,5,2,2,5,2,2,3,1,5,1,5,4,2,2,1,5,5,1,1,2,4,1,1,5,4,3,5,7,2,3,7,2,5,6,0,1,1,0,0,0,0,0,0,0,1
21,1,5,2,3,5,4,3,4,5,2,3,4,3,2,5,1,2,1,2,2,2,3,3,4,3,1,4,4,2,4,1,1,1,2,5,5,1,1,5,2,3,6,1,5,2,5,5,2,5,6,0,0,0,0,0,1,0,0,1,0,1
22,1,5,2,4,1,1,2,1,5,3,2,1,3,4,4,3,1,2,5,2,1,3,3,4,5,5,5,4,2,4,1,4,1,1,3,1,2,4,1,5,4,2,2,5,2,7,7,2,1,4,0,0,0,0,0,0,0,0,0,0,1
23,1,1,2,1,5,4,1,5,5,1,1,5,3,3,3,5,4,5,4,4,2,3,3,4,5,1,5,3,4,2,4,1,5,2,2,5,1,5,1,5,3,5,5,5,5,3,4,7,1,4,0,0,0,0,0,0,0,0,0,1,1
24,4,5,2,5,1,4,3,1,5,1,5,4,3,5,3,2,2,4,5,5,2,5,3,5,5,1,1,2,1,5,5,5,3,2,5,5,2,5,1,4,4,4,2,5,2,1,4,4,1,1,0,1,0,0,1,0,0,0,0,0,1
25,2,5,3,5,1,1,5,5,1,1,2,4,3,5,2,3,4,4,3,4,3,3,5,2,5,1,5,4,2,2,5,2,4,1,5,5,1,5,2,5,5,4,5,5,1,5,2,2,1,3,0,0,0,0,0,1,0,1,0,0,1
26,1,1,2,5,1,2,4,2,5,2,1,4,2,2,3,5,4,1,2,2,1,3,4,2,5,1,5,2,4,4,3,5,1,5,1,1,1,5,1,3,5,7,2,5,5,2,4,6,6,3,0,0,0,0,0,0,0,1,0,0,1
27,1,5,3,5,5,1,4,5,1,3,4,2,3,5,1,1,4,4,3,2,2,5,3,2,4,1,4,4,1,3,5,2,1,5,2,1,1,2,1,5,1,1,2,5,2,6,7,2,6,4,0,0,0,1,0,0,0,0,0,0,0
28,5,4,3,5,1,4,3,4,2,1,4,4,3,5,1,4,5,2,2,5,2,3,3,2,1,4,1,4,2,2,3,1,2,1,2,2,3,3,4,2,3,7,2,7,2,7,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0
29,1,1,2,5,5,3,4,2,5,1,4,2,3,5,3,1,2,1,3,5,2,5,1,4,3,1,1,4,2,2,1,1,4,1,2,1,5,1,1,1,1,6,6,5,5,7,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0
30,3,4,3,5,5,3,3,5,1,2,1,5,5,1,1,1,2,4,5,3,2,3,3,2,5,1,1,2,2,1,4,3,1,1,3,5,1,3,3,3,1,4,5,7,5,2,3,2,5,4,0,0,0,0,0,0,0,0,0,0,1
31,3,5,2,5,2,4,2,1,5,1,5,5,3,3,2,3,4,2,2,4,5,1,4,1,3,5,4,4,4,2,4,1,1,1,4,3,2,5,5,4,1,6,7,1,5,2,5,7,1,2,0,0,0,0,0,0,0,1,1,0,0
32,3,5,2,5,2,4,5,5,5,3,5,4,3,5,3,4,4,4,5,5,2,3,3,4,3,3,1,4,2,2,5,1,5,5,5,5,1,1,1,1,7,3,2,1,1,3,7,4,6,2,0,0,0,0,0,1,0,0,0,0,1
33,3,4,3,1,2,3,5,5,5,3,4,5,1,1,3,2,4,4,2,5,2,3,3,1,4,5,1,4,2,1,1,4,1,3,1,5,3,1,3,1,5,5,3,3,2,3,3,4,5,4,0,0,0,0,0,1,0,0,0,0,0
34,1,1,2,1,5,1,5,4,5,4,1,4,2,5,5,4,2,5,2,2,1,3,1,4,3,4,1,4,4,2,4,5,5,1,4,2,4,1,1,5,2,2,1,5,2,7,3,7,5,2,0,1,0,0,0,0,0,0,0,0,1
35,3,5,3,1,2,3,3,4,5,2,2,5,3,5,2,1,5,2,3,4,2,3,3,1,3,1,1,4,2,5,1,4,1,2,1,5,2,1,1,5,7,5,5,6,1,1,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0
36,4,1,2,1,5,2,5,2,1,3,5,5,2,1,2,3,4,1,1,3,2,5,4,1,1,1,5,4,2,4,1,5,2,1,2,2,2,1,1,3,7,2,2,5,1,7,7,4,6,3,0,1,0,0,0,0,0,0,0,0,0
37,4,4,1,3,5,1,2,2,1,3,2,3,2,5,3,5,4,4,1,4,3,2,4,4,1,1,1,4,1,5,5,1,1,5,1,1,1,1,5,5,1,1,7,5,5,3,3,2,1,7,0,0,0,0,0,0,0,0,1,0,1
38,2,4,2,5,2,3,3,4,1,4,5,5,3,1,2,1,5,2,5,4,2,3,3,5,5,4,1,4,2,5,1,1,5,5,5,5,1,5,5,5,1,2,2,1,5,7,7,7,1,4,0,0,1,0,1,0,0,0,1,0,0
39,1,4,2,5,5,3,3,5,5,1,5,2,2,1,4,3,4,4,5,3,2,3,3,2,2,1,5,4,2,4,5,4,1,3,4,1,5,1,5,1,3,1,3,5,5,3,5,4,6,2,1,0,0,0,0,0,0,0,0,0,1
40,3,2,2,5,1,3,3,4,1,3,3,4,3,5,2,1,4,2,2,2,2,1,1,1,1,4,1,4,2,2,2,1,1,1,2,4,1,5,1,5,2,5,2,5,1,2,3,6,5,3,0,0,0,0,0,0,0,0,0,1,0
41,3,4,2,3,5,4,3,4,4,3,5,5,3,2,2,1,4,2,2,3,2,5,4,2,1,1,5,4,4,4,1,1,4,5,5,5,1,1,1,4,3,4,3,1,5,5,7,7,6,2,0,0,0,0,1,0,0,0,0,0,0
42,3,1,2,2,1,2,4,5,1,3,4,1,3,1,4,3,4,2,2,4,5,3,1,1,5,1,1,4,2,2,1,1,3,5,1,3,1,5,1,4,4,5,5,5,2,1,3,7,5,4,0,0,0,0,0,0,0,1,0,0,0
43,1,2,2,5,2,3,3,4,5,1,2,4,3,2,2,5,4,5,5,5,3,1,4,4,1,1,4,4,2,1,1,2,3,5,1,1,5,1,1,1,1,4,5,2,2,2,6,6,6,1,0,0,0,0,0,0,1,0,0,0,0
44,4,2,2,3,2,3,3,5,1,3,1,5,2,1,2,2,4,4,5,5,4,3,3,5,5,1,4,3,2,4,1,1,1,5,5,3,5,5,1,1,1,5,2,3,2,3,7,2,1,3,0,0,0,0,0,0,1,1,0,0,0
45,5,2,2,5,5,3,3,2,1,2,1,5,1,5,4,1,4,2,4,2,3,5,3,4,3,1,1,4,1,2,1,5,5,5,5,2,1,2,2,1,5,4,2,5,2,4,7,2,1,5,0,1,0,0,0,0,0,0,0,0,0
46,5,5,3,5,1,1,5,2,5,1,5,5,3,1,2,3,4,4,2,2,4,3,3,2,2,1,1,4,3,5,4,5,1,5,1,4,5,5,5,1,4,1,2,7,1,3,4,6,1,1,0,0,0,1,0,0,0,0,0,0,0
47,2,3,3,5,2,3,5,5,5,4,1,2,5,1,5,4,1,2,1,1,3,3,3,5,1,1,1,4,2,1,1,1,5,1,5,1,1,1,2,5,7,4,7,1,5,7,6,2,6,6,0,0,0,0,0,0,0,0,0,1,1
48,3,4,3,5,1,3,3,4,4,4,1,5,3,1,5,5,5,5,2,1,5,3,3,2,1,4,1,4,4,2,4,1,5,2,1,1,1,3,4,1,7,6,5,5,4,3,7,5,5,1,0,0,0,0,0,0,0,0,0,0,1
49,2,3,3,5,5,5,5,5,1,5,1,2,2,5,1,1,4,2,1,1,2,3,1,2,5,4,5,2,3,2,3,1,1,1,5,5,1,5,5,3,3,6,7,7,1,4,4,5,1,7,0,0,0,0,1,1,0,0,1,0,0
50,1,1,2,1,1,4,4,2,1,5,5,4,2,2,2,5,5,4,3,5,2,4,1,4,1,1,1,2,4,2,5,3,1,5,5,5,2,3,5,2,2,2,3,5,2,3,7,5,1,3,1,0,0,0,0,0,0,0,0,0,1
51,4,1,2,5,2,3,3,2,5,2,4,5,3,5,3,1,4,4,1,3,3,1,4,4,5,1,1,4,2,1,3,5,3,1,1,5,1,2,4,1,3,6,7,4,5,3,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0
52,3,4,1,5,2,1,3,5,5,2,5,5,3,5,2,3,2,5,2,4,4,3,3,5,1,1,5,5,4,1,5,3,5,4,3,5,3,1,5,5,2,4,2,5,1,3,7,7,5,4,0,0,0,0,0,0,0,0,1,0,1
53,3,1,1,5,1,3,3,5,5,3,1,4,3,2,4,1,2,4,2,5,2,3,3,1,5,5,5,4,3,2,5,1,2,2,2,1,1,1,1,1,3,6,7,1,2,3,3,5,5,3,1,0,0,0,0,0,0,0,0,0,0
54,4,1,2,1,2,2,5,5,4,1,5,3,3,5,4,5,1,4,5,1,2,1,3,4,2,4,5,4,4,2,1,3,5,1,1,4,1,4,5,5,7,1,3,5,5,3,3,7,7,2,0,0,0,0,0,0,0,0,0,0,1
55,1,5,1,5,5,4,2,5,5,4,1,4,5,1,2,1,5,4,5,5,3,3,4,2,4,1,1,4,2,2,1,5,5,3,1,1,3,1,3,2,5,4,2,7,4,2,2,7,5,3,0,1,0,0,0,0,0,0,0,0,0
56,4,3,2,1,1,1,5,2,5,3,1,5,3,5,3,1,4,2,3,3,1,3,3,1,1,1,2,4,2,2,1,2,5,2,1,2,2,5,5,1,3,5,2,4,2,2,5,7,5,3,0,0,1,0,0,0,0,0,0,0,0
57,3,1,2,1,1,1,3,4,1,3,3,2,1,5,2,1,2,2,1,3,2,1,2,1,5,5,1,4,2,2,1,1,1,1,1,4,3,1,5,1,5,5,2,1,1,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,1
58,2,1,2,5,2,3,3,5,1,3,1,2,2,5,2,3,2,2,5,3,4,1,5,1,5,1,5,2,2,4,1,1,1,4,2,5,1,5,1,1,5,2,2,3,2,5,6,7,5,4,0,0,0,0,0,0,0,0,0,0,0
59,2,1,2,2,2,3,5,5,5,3,5,5,3,2,5,4,4,4,5,2,2,5,3,4,1,1,1,3,2,2,5,5,5,1,5,1,3,5,1,2,4,5,2,1,2,7,3,6,5,6,0,0,0,0,1,0,0,1,0,0,0
60,5,1,3,5,1,3,3,4,5,4,1,5,1,5,3,1,5,2,4,2,2,5,2,2,5,5,1,4,2,4,3,1,4,4,3,1,2,1,5,1,1,6,5,1,1,3,3,6,6,4,0,0,0,0,0,0,0,0,1,0,0
61,1,4,2,5,5,3,3,5,3,3,1,4,2,5,4,5,4,3,5,4,3,3,1,2,5,1,4,4,2,1,3,1,3,5,3,5,5,5,5,1,1,7,2,7,2,4,3,4,5,1,0,0,0,0,0,1,1,1,0,0,0
62,2,4,5,5,3,3,3,2,5,5,2,4,3,5,2,1,2,4,3,2,5,1,3,4,1,1,4,4,2,5,5,5,1,1,5,2,2,1,1,1,3,5,3,5,2,2,3,4,6,7,0,0,0,0,0,0,0,0,0,0,1
63,2,1,2,5,5,3,5,2,5,1,5,4,1,1,3,4,2,5,5,2,1,3,3,4,5,5,1,2,2,1,1,1,4,5,2,5,1,5,1,1,5,4,2,7,6,1,3,7,7,1,0,0,0,0,0,0,0,1,0,0,0
64,1,2,2,5,5,1,3,4,5,3,2,4,3,5,3,3,4,4,3,1,4,3,3,1,1,5,5,4,4,1,1,4,5,2,5,5,1,1,1,1,5,5,2,5,2,4,7,7,5,4,0,0,0,0,0,0,0,0,0,0,0
65,1,5,1,4,5,1,5,2,1,3,4,4,3,5,2,5,5,5,1,4,2,5,4,2,5,5,5,2,2,4,5,4,5,1,3,1,3,1,1,4,1,1,5,1,2,7,4,5,5,2,0,0,1,0,0,0,0,0,0,0,0
66,3,5,2,2,5,1,3,1,5,4,3,5,3,5,5,1,5,5,5,5,2,3,3,4,5,1,4,4,1,2,1,1,1,5,4,5,1,3,2,5,2,7,2,1,5,2,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0
67,3,4,2,5,2,3,3,5,2,2,3,4,3,5,4,3,4,2,4,2,2,3,3,5,1,3,5,2,2,2,5,2,1,4,1,1,5,5,4,5,1,6,5,5,2,7,7,6,2,3,0,0,0,0,0,0,1,0,0,0,1
68,3,1,2,5,4,3,3,2,1,3,1,5,3,5,3,1,2,4,4,5,2,3,4,2,5,5,1,4,4,1,5,3,3,1,1,1,1,5,3,2,7,3,3,5,2,7,7,2,5,4,1,0,0,0,0,0,0,1,0,0,0
69,5,5,3,5,2,2,3,5,1,3,1,2,1,5,3,1,4,1,3,3,4,5,1,5,5,1,2,4,2,2,1,2,1,1,1,2,5,5,4,1,1,1,2,3,2,3,7,4,4,6,0,0,0,0,0,0,1,0,0,0,1
70,3,4,2,4,5,2,3,5,5,3,1,1,1,2,3,1,5,4,5,4,2,4,3,2,5,1,5,4,4,2,4,3,1,5,5,5,1,4,1,1,3,5,5,6,5,2,7,6,1,4,0,0,0,0,0,0,0,0,0,0,1
71,1,1,3,5,2,3,5,2,3,3,1,4,3,5,2,1,2,4,3,4,1,2,5,1,5,4,4,4,3,1,5,5,1,5,4,4,1,5,4,1,2,2,5,5,5,7,3,5,1,1,1,0,0,0,0,0,0,0,0,0,1
72,3,4,2,5,2,3,4,4,5,1,1,4,3,5,1,1,4,4,3,1,5,3,3,5,5,5,1,4,2,1,1,3,5,5,2,4,5,5,1,3,3,1,3,4,2,7,5,7,5,6,0,0,0,1,0,0,1,0,0,0,0
73,2,4,2,4,2,3,3,4,5,5,3,5,3,1,3,4,4,4,5,2,3,5,3,4,1,2,3,4,3,1,5,4,5,2,1,5,1,3,1,1,1,2,1,5,5,5,7,7,6,2,0,0,0,0,0,0,0,0,0,0,1
74,2,4,1,5,1,5,3,2,2,3,4,1,3,1,4,1,5,4,4,3,2,3,1,2,1,5,1,4,3,2,2,1,1,1,1,1,3,5,2,1,5,5,1,7,2,5,1,7,5,2,0,0,0,0,0,0,0,1,0,0,0
75,3,4,3,5,5,5,1,5,1,2,1,1,2,2,3,5,1,4,2,3,2,3,3,1,5,1,1,4,2,2,2,1,4,2,5,5,2,5,5,2,1,1,2,5,3,7,7,6,1,1,0,0,0,0,0,0,0,0,0,0,1
76,4,1,2,1,5,4,5,2,4,2,1,5,3,1,5,1,4,2,3,5,2,3,1,4,5,1,1,4,3,2,2,1,2,1,1,5,1,2,1,5,2,2,2,7,1,2,5,7,6,6,0,0,0,0,0,1,0,0,0,0,0
77,2,5,3,1,2,1,3,5,4,4,2,1,3,1,5,4,4,2,2,2,4,5,3,5,2,1,4,4,5,2,5,2,5,5,3,3,2,5,5,1,1,4,1,7,2,3,7,2,5,5,1,0,0,1,0,0,0,0,1,0,1
78,1,1,5,5,2,2,1,5,2,3,4,1,3,1,2,1,4,2,3,2,2,3,3,2,3,1,5,4,1,2,1,2,5,5,2,2,4,1,2,1,4,6,7,7,2,3,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0
79,5,1,2,5,5,3,4,2,1,2,5,4,2,1,4,5,2,4,5,2,5,1,3,4,5,5,4,4,2,4,1,2,3,4,1,5,5,1,5,1,5,4,2,5,5,3,4,5,6,3,0,0,0,0,0,0,1,0,0,0,0
80,3,2,3,5,2,3,5,4,2,5,5,4,3,2,3,1,4,4,1,2,5,2,3,4,1,5,4,4,2,2,3,4,2,1,5,1,1,1,4,1,5,1,7,5,5,5,7,7,6,3,0,0,0,0,0,0,0,0,0,0,1
81,1,4,5,4,5,3,5,4,5,3,5,4,3,5,4,5,4,5,5,2,2,1,3,4,5,1,5,4,2,2,4,1,4,2,1,5,4,1,4,1,2,6,2,6,2,4,7,6,1,6,0,0,0,0,0,0,0,0,0,0,0
82,5,5,2,1,1,1,5,5,5,4,5,4,5,2,2,1,2,5,3,1,2,5,3,2,5,1,2,4,2,2,5,5,2,1,2,1,4,1,1,2,3,4,2,5,1,7,5,5,6,3,0,1,0,0,0,0,0,0,0,0,0
83,1,5,2,1,5,3,5,1,5,4,3,5,3,5,5,3,5,2,2,2,1,5,3,5,2,5,5,4,4,5,1,1,5,1,3,5,4,1,2,1,5,1,5,5,4,3,7,7,2,7,0,0,1,0,0,0,0,0,0,0,0
84,1,5,3,3,2,3,3,2,1,1,1,4,2,5,5,3,2,2,5,3,2,5,4,2,3,5,5,4,4,2,1,3,5,5,5,2,2,5,5,5,4,1,5,5,2,3,3,5,5,6,0,0,0,0,0,0,0,0,0,0,0
85,1,4,5,5,5,3,1,3,5,1,5,4,3,2,2,3,2,2,5,2,3,3,3,4,2,4,5,4,2,2,1,3,3,5,4,5,4,4,1,5,2,6,1,5,2,7,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0
86,1,1,2,1,1,4,5,2,5,2,5,1,3,5,4,4,2,4,5,3,2,3,4,2,3,1,5,4,2,2,4,1,1,1,1,2,5,5,3,2,2,5,5,3,2,7,5,2,5,6,0,0,0,0,0,0,0,0,0,0,1
87,4,4,2,5,2,5,5,5,5,3,2,1,3,2,4,1,2,2,2,2,2,1,3,4,5,1,1,4,2,2,5,1,5,5,1,2,1,5,1,5,5,1,2,4,2,4,5,7,1,4,0,0,0,0,0,0,0,0,0,0,0
88,4,4,2,5,5,4,3,2,2,2,1,3,4,2,1,4,4,4,1,2,2,3,3,4,3,1,5,4,2,2,5,2,4,2,2,1,5,5,2,1,3,6,7,7,5,6,7,5,6,3,1,0,0,0,0,0,0,1,0,0,1
89,5,1,2,5,2,5,3,2,5,2,1,5,1,5,2,5,4,1,2,2,2,5,3,2,4,1,4,4,1,1,1,4,1,2,2,1,5,1,5,3,5,1,3,7,1,4,5,5,2,3,0,0,0,0,0,0,0,0,1,0,0
90,2,3,3,5,2,3,3,1,5,2,4,4,3,2,3,1,4,4,5,4,3,1,4,1,3,1,1,4,2,5,1,1,2,1,5,5,5,5,1,5,4,6,1,5,1,2,3,4,5,4,0,0,0,0,0,0,1,0,0,0,0
91,3,4,2,4,2,4,3,5,5,3,3,5,1,5,2,4,4,5,2,3,2,1,1,2,2,4,5,4,2,2,5,4,4,5,3,5,1,1,5,5,2,4,6,5,1,3,4,7,6,1,1,0,0,0,0,0,0,0,1,1,0
92,3,5,2,5,2,2,3,5,5,4,5,5,2,1,5,5,5,5,5,1,3,5,5,2,5,5,1,4,4,2,4,1,5,2,1,1,2,1,1,5,1,1,2,3,5,3,5,7,1,7,0,0,0,0,0,0,0,0,0,1,1
93,5,1,2,3,2,3,5,5,5,3,1,1,3,3,3,1,4,3,5,4,2,3,4,2,4,1,5,4,2,2,1,1,1,2,5,5,3,1,5,2,7,5,7,4,2,3,4,2,5,4,0,0,0,0,0,1,0,0,0,0,0
94,1,3,2,5,2,4,5,2,5,1,1,3,3,1,1,3,2,5,2,1,2,3,3,2,5,1,5,4,4,2,1,5,5,2,5,1,5,1,1,1,7,1,3,7,1,3,3,6,5,4,0,0,0,0,0,0,0,0,0,0,0
95,5,5,1,5,1,3,5,4,5,2,4,3,3,2,2,4,4,4,3,1,3,5,2,4,1,5,5,4,3,2,1,1,2,2,1,3,5,5,4,2,4,1,5,4,1,1,3,6,5,5,0,0,0,0,0,0,1,1,0,0,0
96,5,4,2,5,5,3,3,5,1,3,1,5,3,3,4,1,1,2,5,5,2,3,3,4,2,3,1,5,2,2,3,5,4,1,5,1,4,4,2,4,1,6,5,7,1,6,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0
97,2,5,1,3,1,3,3,5,5,3,4,3,1,5,4,1,4,2,3,1,4,1,3,4,5,1,5,4,4,2,5,5,5,1,1,5,1,1,1,4,2,4,3,1,7,1,5,5,5,5,0,0,1,0,0,1,0,0,0,0,1
98,5,5,3,5,2,3,4,5,1,2,5,5,3,1,3,1,2,2,1,2,3,5,3,1,5,1,1,4,2,2,3,1,1,2,1,1,5,5,1,1,7,7,2,5,2,7,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0
99,2,4,2,5,2,1,2,5,2,4,3,5,3,5,3,3,2,2,3,5,2,5,3,4,1,1,1,2,1,2,1,4,5,5,1,5,5,5,5,1,5,1,3,5,5,6,3,5,5,7,0,0,0,0,0,0,0,0,1,0,0
100,5,5,5,4,2,3,5,5,2,3,5,1,1,5,1,1,1,4,5,2,4,3,3,4,5,5,1,4,2,2,1,5,1,3,5,5,1,3,5,2,3,4,3,5,5,3,4,2,1,3,0,0,0,0,1,0,0,0,0,0,1
101,1,1,5,5,2,2,3,5,5,3,1,5,3,1,4,1,1,2,5,4,4,3,3,4,1,4,5,4,2,1,5,1,3,1,2,4,1,1,1,5,2,4,2,5,1,7,3,4,1,3,0,0,0,0,0,0,0,0,0,0,1
102,3,5,1,1,2,3,1,4,1,4,1,5,3,2,2,4,2,5,2,5,2,4,1,5,5,4,4,4,2,1,1,4,4,1,3,1,5,1,1,3,3,2,2,5,2,4,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0
103,1,4,2,5,2,4,3,2,1,5,4,5,3,5,2,4,4,2,3,3,3,5,3,2,3,1,1,4,3,2,1,5,1,3,1,1,3,1,1,5,4,5,1,5,5,3,2,5,4,4,0,1,0,0,0,0,0,0,0,0,0
